DataAcc	runID	sampleID	figS4E_j	figS4E_o	figS4E_0905		bname
151C_rerunS8	151C_rerun	S8					3-1NP-ICEDAP-gICE-4C_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS7	151C_rerun	S7					1506-HSF1-wounded-ZT2_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS6	151C_rerun	S6					1506-HSF1-NTC-ZT2_S6_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS2	151C_rerun	S2					1506-HSF1-Mock-ZT1_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS1	151C_rerun	S1					1506-HSF1-Mock-ZT-1_S1_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS5	151C_rerun	S5					1506-HSF1-H202-ZT1_S5_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS4	151C_rerun	S4					1506-HSF1-DCMU-ZT1_S4_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS3	151C_rerun	S3					1506-HSF1-DBMIB-ZT1_S3_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
186CS12	186C	S12					1505-Zt12-27C_S12_RPKM.bw
186CS11	186C	S11					1505-ZT12-17C_S11_RPKM.bw
186CS13	186C	S13					1505-ZT0-17C_S13_RPKM.bw
182CS18	182C	S18					1505-27C-ZT16_S18_RPKM.bw
182CS17	182C	S17					1505-27C-ZT0_S17_RPKM.bw
182CS16	182C	S16					1505-17C-ZT16_S16_RPKM.bw
182CS15	182C	S15					1505-17C-ZT0_S15_RPKM.bw
194CS14	194C	S14					1489-27_S14_Ath-TAIR10_RPKM.bw
194CS13	194C	S13					1489-17_S13_Ath-TAIR10_RPKM.bw
192CS4	192C	S4					1488-27-ZT10_S4_Ath-TAIR10_RPKM.bw
186CS19	186C	S19					1488-27-ZT10_S19_RPKM.bw
192CS3	192C	S3					1488-17-ZT10_S3_Ath-TAIR10_RPKM.bw
186CS18	186C	S18					1488-17-ZT10_S18_RPKM.bw
176CS2	176C	S2					1487-27C-ZT10_S2_Ath-TAIR10_RPKM.bw
186CS17	186C	S17					1487-27-ZT10_S17_RPKM.bw
182CS1	182C	S1					1487-22C-ZT10-RESEQ_S1_RPKM.bw
186CS16	186C	S16					1487-17-ZT10_S16_RPKM.bw
192CS1	192C	S1					1487-17-ZT10_S1_Ath-TAIR10_RPKM.bw
182CS22	182C	S22					1486-27C-LD_S22_RPKM.bw
182CS21	182C	S21					1486-22C-LD_S21_RPKM.bw
182CS20	182C	S20					1482-27C-LD_S20_RPKM.bw
182CS19	182C	S19					1482-22C-LD_S19_RPKM.bw
174CS9	174C	S9					1478-24h-5C-ZT8_S9_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS10	174C	S10					1478-22C-SD-ZT8_S10_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS11	174C	S11					1478-1W-5C-ZT8_S11_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS8	174C	S8					1473-gELF4-HA-elf4-2-ZT10-27C_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
192CS16	192C	S16					1473-gELF4-HA-elf4-2-ZT10-27C_S16_Ath-TAIR10_RPKM.bw
174CS7	174C	S7					1473-gELF4-HA-elf4-2-ZT10-17C_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS5	174C	S5					1472-gELF4-HA-elf4-2xelf3-1-ZT10-17C_S5_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS6	174C	S6					1472-gELF4-HA-elf4-2x-elf3-1-ZT10-27C_S6_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
192CS15	192C	S15					1472-gELF4-HA-elf4-2-x-elf3-1-ZT10-27C_S15_Ath-TAIR10_RPKM.bw
174CS4	174C	S4					1469-gELF3-myc-elf3-1xELF4-ox-ZT10-27C_S4_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS3	174C	S3					1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S3_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS1	174C	S1					1468-gELF3-myc-elf3-1xelf4-101-ZT10-27C_S1_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS2	174C	S2					1468-gELF3-myc-elf3-1xelf4-101-ZT10-17C_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
194CS12	194C	S12					1283-pICE1-4C_S12_Ath-TAIR10_RPKM.bw
194CS11	194C	S11					1283-pICE1-22C-CHX_S11_Ath-TAIR10_RPKM.bw
194CS10	194C	S10					1283-pICE1-22C_S10_Ath-TAIR10_RPKM.bw
174CS17	174C	S17					1281-submergence22C-SD-ZTO-PBS_S17_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS18	174C	S18					1281-SD27C-NTC_S18_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS19	174C	S19					1281-SD27C-48H-DARK_S19_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS14	174C	S14					1281-NTC-Sd22-ZT5_S14_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS16	174C	S16					1281-NTC-22C-SD-ZTO_S16_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS15	174C	S15					1281-HS-Sd22-ZT5_S15_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
